Name,Age,Gender,Occupation,Income,Expenses,CreditScore,RiskProfile
Keith Kelly,29,Female,Salaried,42226.23,16000.31,Average,Medium
Amanda Alvarez,28,Male,Student,50691.22,38809.16,Excellent,Medium
Scott Snyder,34,Male,Unemployed,41375.11,21451.29,Poor,High
Sharon Phillips,32,Female,Unemployed,66815.08,38692.08,Excellent,Low
Christopher Velazquez,21,Male,Self-Employed,26839.68,8095.93,Poor,High
Shaun Perry,36,Male,Unemployed,13543.98,8894.67,Average,High
Sandra Holloway,18,Female,Salaried,69796.55,36992.73,Good,Low
Andrea Guerrero,23,Male,Self-Employed,75351.56,34618.62,Average,Medium
Donna Turner,22,Male,Salaried,78677.45,25439.9,Poor,High
Sarah Reed,20,Male,Student,41270.94,28517.67,Excellent,Medium
Julia Wallace,30,Male,Student,45418.4,24768.89,Good,Low
Jesus Fields,32,Female,Unemployed,23819.24,17282.48,Good,Medium
Joanna Jimenez DDS,38,Male,Salaried,31740.62,22692.37,Excellent,Medium
Roger Ryan,40,Female,Salaried,16424.96,6206.48,Average,High
John Pennington,21,Female,Self-Employed,31714.28,25425.83,Poor,High
Ryan Mills,28,Male,Salaried,37210.36,29988.64,Excellent,High
Erica Long,29,Male,Salaried,26448.51,8698.95,Excellent,Low
Raymond Ramirez,40,Female,Self-Employed,46820.64,14051.26,Good,Low
Dawn Phillips,27,Male,Student,18080.41,6386.72,Average,High
Gregory Harris,27,Female,Self-Employed,35834.7,14859.35,Excellent,Low
Rodney Ferguson,27,Female,Student,65986.93,42584.57,Average,Medium
Christopher Jones,20,Male,Salaried,29751.98,14616.63,Average,Medium
Erica Mclaughlin,35,Male,Self-Employed,78259.64,64836.35,Poor,High
Justin Brown,33,Female,Salaried,42998.91,37544.91,Excellent,High
Kelly Browning,31,Male,Student,33318.44,20624.37,Poor,High
Dylan Johnston,31,Female,Student,70001.89,38611.02,Excellent,Low
Katherine Brown,19,Male,Student,50073.81,33918.52,Poor,High
Cheryl Garner,22,Male,Self-Employed,31029.31,17382.94,Excellent,Low
Ashley Johnston,25,Male,Salaried,37366.96,19263.03,Excellent,Low
Jason Diaz,26,Female,Unemployed,67417.56,28802.44,Average,Medium
Wesley Lopez,33,Male,Self-Employed,39750.1,26725.32,Poor,High
Jennifer Clarke,23,Male,Salaried,11925.74,8928.96,Good,High
Randy Fox,40,Male,Self-Employed,33541.66,17591.23,Good,Low
Dana Luna,30,Male,Student,70198.55,27625.46,Average,Medium
Miss Morgan Castro,29,Male,Self-Employed,32272.21,20465.25,Average,Medium
Mathew Cummings,24,Female,Student,41816.2,30813.52,Good,Medium
James Shaffer,22,Male,Self-Employed,22338.04,18613.54,Poor,High
Phyllis Valdez,28,Female,Student,26594.51,19746.64,Average,Medium
Stephanie George,22,Male,Unemployed,89059.69,68621.58,Excellent,Medium
Kristen Bishop,21,Female,Student,34150.58,23039.08,Average,Medium
Carl Ortiz,37,Male,Salaried,54245.87,41802.68,Average,Medium
Lindsey Edwards,19,Female,Self-Employed,59091.91,45695.06,Excellent,Medium
Tiffany Newman,38,Male,Student,63588.82,30469.03,Good,Low
Frank Wright,40,Female,Unemployed,40814.14,29920.12,Poor,High
April Ramirez,25,Female,Self-Employed,64723.04,22580.14,Excellent,Low
Carrie Macias,38,Male,Self-Employed,79377.89,24215.31,Average,Medium
Philip Moore,26,Male,Student,57954.15,37577.92,Excellent,Medium
Tabitha Wilson,19,Female,Self-Employed,76714.74,68727.51,Average,High
Matthew White,33,Female,Student,22484.71,14900.61,Poor,High
John Salazar,33,Female,Unemployed,85052.19,63128.33,Average,Medium
Stephen Nash,18,Female,Student,47511.43,34918.63,Average,Medium
Nicholas Gutierrez,19,Male,Self-Employed,82807.79,50601.34,Excellent,Medium
Calvin Williams,24,Female,Self-Employed,81903.64,61897.16,Excellent,Medium
Anne Morris,27,Male,Unemployed,83667.49,66342.3,Average,Medium
Travis Oliver,26,Female,Salaried,73191.61,38381.01,Excellent,Low
Tyler Hunter,20,Female,Student,56840.1,47247.94,Poor,High
Shannon Price DVM,39,Male,Self-Employed,18980.87,6580.8,Excellent,High
Lauren Mason,29,Male,Self-Employed,40170.47,23869.36,Excellent,Low
Mary Colon,36,Male,Student,55097.79,46819.98,Poor,High
Monique Evans,36,Male,Student,72732.5,50274.04,Average,Medium
Gregory Hernandez,26,Female,Student,45734.22,27382.62,Good,Low
Edward Hernandez,39,Male,Self-Employed,84722.73,50478.91,Good,Low
Jessica Murray,26,Female,Student,49334.89,17752.88,Good,Low
Andrea Brown,23,Male,Self-Employed,27590.15,22673.66,Poor,High
Gabriel White,39,Female,Salaried,33900.77,25309.31,Average,Medium
Miss Lauren Short,34,Female,Unemployed,36592.2,22703.82,Excellent,Medium
Robert Kelley,25,Male,Salaried,46563.02,18169.98,Good,Low
Danny Coleman,31,Female,Unemployed,92491.18,60591.95,Good,Medium
Rhonda Kim,22,Male,Unemployed,22761.29,19311.22,Good,High
Chad Thomas,31,Male,Salaried,37311.18,23574.94,Good,Medium
Larry Boone,31,Male,Self-Employed,36536.3,19390.67,Excellent,Low
Kimberly Ellis,30,Female,Salaried,79214.01,31903.87,Excellent,Low
Matthew Daniel,40,Male,Self-Employed,89172.23,67187.89,Excellent,Medium
John Madden,34,Female,Unemployed,94637.39,65599.07,Poor,High
Kendra Burnett,27,Female,Student,35939.36,24423.5,Average,Medium
Anne Gilbert,27,Female,Self-Employed,76567.84,34302.46,Average,Medium
Matthew Parsons,29,Female,Student,27163.23,21348.13,Poor,High
Christine Wilson,38,Male,Student,22914.55,15803.72,Good,Medium
William Tucker,39,Female,Self-Employed,92357.79,36386.8,Excellent,Low
Ronald Brown,29,Female,Student,84762.87,64525.8,Excellent,Medium
Alexandra Rodriguez,25,Female,Student,94994.06,52309.28,Poor,High
Kim Stone,36,Female,Self-Employed,10020.02,3368.2,Poor,High
Lisa Ortiz,26,Male,Unemployed,18348.72,11065.66,Excellent,High
Susan Smith,36,Male,Student,10859.81,4379.87,Good,High
Stephanie Johnson,40,Male,Unemployed,36714.98,11577.05,Excellent,Low
Andrew Lewis,29,Female,Student,29649.08,22015.39,Average,Medium
Hannah Price,23,Female,Self-Employed,44381.76,15834.65,Excellent,Low
Bryan Martin,26,Female,Self-Employed,32599.45,25478.51,Good,Medium
Jessica Smith,29,Male,Student,13039.53,6509.53,Average,High
Mary Allison,25,Male,Self-Employed,88363.85,48897.77,Good,Low
Christopher Castillo,30,Male,Unemployed,61357.49,42578.9,Good,Medium
Samantha Fox,28,Female,Student,13183.2,5013.5,Average,High
Andrea Allen,33,Male,Salaried,54572.09,23303.02,Excellent,Low
Jill Keith,38,Male,Self-Employed,33039.76,26660.52,Average,High
Mrs. Gloria Burgess,36,Male,Student,90221.1,59026.59,Good,Medium
Brad Lee,39,Female,Unemployed,86824.58,75427.46,Excellent,High
Timothy Patterson,36,Female,Self-Employed,40421.03,29937.23,Poor,High
Christopher Estrada,29,Female,Unemployed,43800.35,17821.59,Good,Low
Benjamin Porter,26,Male,Student,60784.73,28725.15,Good,Low
Maria Downs,40,Male,Student,63431.06,50317.94,Average,Medium
Sharon Chase,23,Male,Salaried,39123.91,14237.29,Good,Low
Thomas Gallegos,33,Male,Student,32858.1,23480.01,Excellent,Medium
Nicole Gonzalez,18,Male,Unemployed,43523.72,36977.03,Good,High
Robert Blevins,39,Male,Self-Employed,82115.72,33819.62,Excellent,Low
Alexis Smith,36,Female,Salaried,78737.54,45868.98,Good,Low
Mark Jones,37,Male,Self-Employed,63875.11,24033.54,Poor,High
Helen Wallace,31,Female,Student,36032.18,12596.14,Good,Low
Sheila Johnson,33,Male,Student,21395.84,16766.81,Average,Medium
Christopher Welch,20,Male,Self-Employed,52642.56,31335.12,Poor,High
Victor Barrett,28,Female,Salaried,26911.98,13993.28,Good,Low
Edward Hatfield,30,Female,Student,10860.09,8309.95,Poor,High
Ronnie Pitts,27,Female,Unemployed,83521.29,55933.04,Excellent,Medium
Molly Klein,31,Male,Student,60977.99,25371.3,Average,Medium
Adam Barber,34,Female,Salaried,45413.17,35140.91,Average,Medium
Raymond Johnson,38,Male,Self-Employed,23899.19,20784.23,Poor,High
Willie Gardner,38,Female,Unemployed,50173.58,30295.46,Poor,High
Kevin Hernandez,36,Female,Salaried,17107.22,7655.9,Average,High
Reginald Jones,37,Male,Salaried,32975.49,11507.63,Excellent,Low
Anthony Stevenson,30,Male,Salaried,81465.29,42084.73,Good,Low
Tiffany Cook,20,Male,Salaried,75344.75,39411.01,Good,Low
Erica Medina,39,Female,Unemployed,65043.61,23865.51,Excellent,Low
Sylvia Mercado,24,Female,Student,44490.32,16597.05,Poor,High
Vanessa Martin,34,Male,Student,73565.86,62253.9,Poor,High
Tyler Norton,22,Female,Self-Employed,80335.39,49976.53,Average,Medium
Kelly Fields,20,Female,Self-Employed,28029.66,23520.95,Excellent,High
Ian Hughes,37,Female,Salaried,40968.83,19303.04,Poor,High
Dominic Hernandez,18,Female,Unemployed,28589.09,24553.56,Average,High
Rachael Golden,18,Male,Salaried,19170.63,15559.14,Excellent,High
Daniel Horne,25,Male,Unemployed,28010.5,19728.46,Poor,High
Priscilla Vincent,36,Male,Self-Employed,34357.88,18903.82,Excellent,Low
Donna Davis,37,Female,Unemployed,25827.13,22909.48,Excellent,High
Sue Moon,20,Female,Unemployed,68140.22,58026.1,Poor,High
Rebecca Hansen,38,Female,Self-Employed,40622.33,27574.63,Poor,High
Kayla Anderson,30,Female,Unemployed,77436.1,23979.59,Excellent,Low
Christopher Simpson,34,Female,Unemployed,62644.94,25322.76,Poor,High
Jessica Sandoval,26,Male,Unemployed,14120.06,4575.77,Excellent,High
Jon Davis,32,Male,Student,72729.67,43193.74,Excellent,Low
Catherine Jackson,34,Male,Student,30417.27,22201.46,Good,Medium
Katelyn Parker,32,Male,Salaried,64503.41,21700.34,Good,Low
Laura Choi,21,Male,Student,16014.34,10195.72,Excellent,High
Dean Burgess,26,Female,Self-Employed,61327.68,22046.16,Good,Low
Shelby Williams,26,Female,Student,56487.46,47778.76,Excellent,High
Jodi Taylor,22,Male,Student,41792.78,28700.45,Poor,High
Daniel Austin,37,Female,Unemployed,56310.78,39007.09,Average,Medium
Christian Jenkins,22,Male,Student,68946.03,50584.47,Average,Medium
William Harris,19,Female,Unemployed,76026.72,65252.63,Excellent,High
Becky Schroeder,21,Female,Self-Employed,17039.46,5301.11,Poor,High
Caroline Santos,33,Female,Unemployed,59549.33,31719.69,Excellent,Low
Emma Foster DVM,18,Male,Self-Employed,89358.21,46344.35,Poor,High
Craig Murray,29,Male,Unemployed,51172.61,24970.66,Poor,High
Misty Leach,40,Male,Student,86605.52,62895.11,Good,Medium
Joseph Taylor,33,Female,Self-Employed,28546.62,15477.15,Excellent,Low
Stacy Williams,20,Male,Student,71486.14,62171.15,Poor,High
Alan Jones,18,Female,Student,33323.12,29555.49,Average,High
Erica Bentley,18,Female,Self-Employed,20268.04,6420.87,Good,Low
Brianna Jenkins,22,Male,Unemployed,67877.01,29184.54,Excellent,Low
Elizabeth Sanchez,37,Male,Self-Employed,32839.81,26993.52,Excellent,High
Jesse Sanchez,30,Male,Self-Employed,52886.95,17446.91,Excellent,Low
Shannon Anderson,36,Male,Student,40937.37,26012.35,Good,Medium
Trevor Pierce,32,Female,Student,59984.17,31156.75,Good,Low
William Anderson,24,Male,Self-Employed,51984.33,15733.93,Average,Medium
Kelly Moore,32,Male,Unemployed,85372.54,74095.99,Good,High
William Brown,31,Male,Self-Employed,91817.44,64851.82,Good,Medium
Mike Smith,28,Male,Self-Employed,48255.35,31242.84,Poor,High
Deborah Gomez,29,Female,Self-Employed,18929.19,11465.6,Poor,High
Anthony Vega,37,Male,Unemployed,18235.28,12230.76,Excellent,High
Micheal Valdez,27,Male,Student,97623.68,36090.83,Poor,High
Jeremy Obrien,24,Female,Self-Employed,33721.79,30086.62,Excellent,High
Mary Phillips,21,Male,Salaried,78968.49,67490.52,Excellent,High
Robert Barber,35,Female,Student,85071.39,51926.42,Good,Medium
Desiree Peterson MD,31,Male,Unemployed,28653.66,9927.35,Excellent,Low
Lacey Chavez MD,21,Female,Self-Employed,40902.71,17359.8,Poor,High
Kyle Turner,25,Female,Student,79023.87,52873.12,Average,Medium
Aaron Ramos,39,Female,Self-Employed,45167.02,33719.59,Good,Medium
Pamela Hurst,25,Female,Student,32289.53,17111.23,Excellent,Low
Amber Compton,32,Male,Student,86171.98,28662.26,Poor,High
Ryan Carney,34,Female,Student,57552.22,27972.41,Average,Medium
Michael Bauer,35,Male,Unemployed,39577.46,15934.58,Average,Medium
Alex Robinson,29,Female,Unemployed,93494.53,30869.56,Average,Medium
Herbert Escobar,20,Female,Salaried,82444.53,26481.76,Average,Medium
Emily Wilson,37,Female,Student,42083.25,21734.26,Good,Low
Tamara Arias,27,Female,Salaried,53049.76,40108.88,Excellent,Medium
Pamela Herman,19,Female,Student,30711.0,26615.75,Good,High
Stephanie Lam,28,Female,Self-Employed,13823.25,7348.22,Excellent,High
Crystal Wells,24,Female,Unemployed,49824.61,30126.33,Good,Medium
Jillian Hobbs,22,Male,Salaried,82576.01,45808.54,Excellent,Low
Brendan Alexander,22,Male,Student,29213.47,25940.19,Average,High
Andrea Erickson,40,Female,Unemployed,76915.89,53289.53,Excellent,Medium
Shelby Duffy,21,Male,Self-Employed,34275.64,12720.51,Good,Low
Lisa Cole,26,Male,Unemployed,12605.07,10790.91,Average,High
Leslie Kim,26,Female,Unemployed,37320.85,32563.52,Excellent,High
Ricardo Dougherty,38,Male,Student,63299.35,19384.78,Poor,High
Jennifer Robinson,23,Female,Student,86766.02,39605.86,Excellent,Low
Michael Tran,36,Female,Self-Employed,23597.59,17399.92,Good,Medium
Tyler Silva,32,Female,Unemployed,24348.24,10632.81,Good,Low
Cory Wilson,35,Female,Student,92516.68,55181.81,Good,Low
John Williams,28,Female,Unemployed,99908.21,84822.96,Average,High
Jose Blackwell,33,Male,Student,93663.02,57580.37,Excellent,Medium
Mary Wells,32,Female,Salaried,46327.78,30435.65,Average,Medium
Renee Aguirre,21,Female,Salaried,12226.06,7095.04,Poor,High
Mary Cross,30,Female,Self-Employed,68634.39,26415.15,Poor,High
Daniel Davis,23,Male,Salaried,59171.77,33959.92,Excellent,Low
Donald Smith,35,Male,Salaried,80597.3,55443.43,Good,Medium
Shane Collins,24,Female,Student,28027.03,24524.83,Excellent,High
Melanie Soto,37,Male,Self-Employed,98611.99,67566.36,Average,Medium
Andrew Dorsey,38,Male,Unemployed,93633.94,76253.77,Excellent,High
James Spencer,31,Male,Student,30414.42,17339.42,Excellent,Low
Lauren Carlson,32,Female,Unemployed,78160.75,32828.76,Good,Low
Michael Roberson,27,Female,Self-Employed,18490.78,12340.11,Excellent,High
Jason Williams,22,Female,Student,16822.46,6097.96,Poor,High
Lisa Chaney,32,Male,Student,43507.82,18423.5,Poor,High
Stanley White,26,Male,Salaried,74614.34,62926.74,Good,High
Emma Flores,33,Female,Student,31851.06,21844.52,Good,Medium
Mitchell Garcia,31,Male,Unemployed,51609.02,45701.98,Average,High
Brittany Hansen,21,Female,Student,75801.42,28607.61,Poor,High
Albert Smith,29,Female,Student,53000.49,17276.34,Good,Low
Edwin Jones,34,Male,Unemployed,23917.95,13757.58,Excellent,Low
Stephen Mack,21,Male,Salaried,32256.91,12701.95,Good,Low
Rebecca Lee,33,Female,Student,40879.73,19293.91,Average,Medium
Brian Mendez,22,Male,Self-Employed,93385.3,79580.08,Poor,High
Aaron Elliott,38,Male,Self-Employed,31966.46,13838.07,Average,Medium
Amber Murray,24,Female,Salaried,78444.43,28816.13,Excellent,Low
Juan Miller,34,Female,Unemployed,43379.96,31584.79,Average,Medium
Samuel Walker,38,Male,Salaried,47141.98,26795.04,Good,Low
Connor Morris,18,Male,Salaried,97825.42,40576.78,Poor,High
Garrett Jones,20,Female,Student,47125.64,31237.13,Excellent,Medium
Cheryl Jefferson,40,Male,Student,67965.73,39939.08,Poor,High
Joseph Padilla,39,Male,Salaried,51157.32,38946.91,Excellent,Medium
Maria Cook,26,Female,Salaried,13492.07,9837.63,Good,High
Valerie Gallegos,30,Female,Salaried,36870.68,25617.77,Good,Medium
Todd Henry,21,Male,Self-Employed,65796.51,46731.27,Excellent,Medium
Benjamin Fox,34,Female,Student,64827.67,48840.74,Excellent,Medium
Christopher Mendez,25,Female,Self-Employed,61533.95,38340.06,Average,Medium
Vickie Gomez,28,Male,Student,63536.91,48655.36,Good,Medium
Gary Russell,40,Male,Self-Employed,83557.08,74996.24,Excellent,High
Andrew Young,34,Male,Unemployed,92518.79,76761.31,Excellent,High
Karen Jones,32,Female,Student,63445.68,56841.04,Poor,High
Nicholas Wilson,40,Female,Student,38649.92,26368.52,Average,Medium
Michelle Johnson,22,Male,Student,73040.39,48438.84,Poor,High
Brittany Salazar,30,Female,Salaried,93075.73,67299.89,Average,Medium
Ruben Shaw,40,Female,Unemployed,53402.54,40065.49,Poor,High
Eric Cox,26,Male,Self-Employed,17398.03,5364.74,Good,High
Angela Fletcher,32,Female,Salaried,73372.76,48009.62,Poor,High
Anthony Jones,28,Male,Student,57594.12,49786.03,Average,High
Mrs. Hannah Martin,34,Female,Self-Employed,62878.04,36259.15,Excellent,Low
Matthew George,27,Male,Salaried,75079.44,33812.65,Poor,High
Beth Green,19,Female,Salaried,78796.29,24482.32,Average,Medium
Angela Vazquez,34,Female,Salaried,35777.61,18191.51,Excellent,Low
Donna Ruiz,23,Female,Unemployed,60550.8,52165.68,Average,High
Carl Butler,32,Female,Self-Employed,61260.21,43056.71,Good,Medium
Kyle Hill,30,Female,Unemployed,46367.5,18983.39,Average,Medium
Laura Hinton,22,Male,Self-Employed,62993.23,32233.02,Excellent,Low
Lisa Parker,29,Female,Self-Employed,77062.36,62832.11,Average,High
Teresa Matthews,23,Male,Student,66546.94,24318.71,Good,Low
Philip Evans,21,Male,Unemployed,33523.66,20350.24,Good,Medium
Brandon Boyd,34,Male,Salaried,57141.86,38803.38,Poor,High
George Williams,20,Male,Salaried,21755.88,7325.73,Average,Medium
Erica Hernandez,28,Female,Student,72581.78,48202.97,Excellent,Medium
Samantha Carroll,25,Male,Salaried,11176.53,9381.93,Average,High
Angela Waters,27,Male,Self-Employed,36030.92,19912.82,Poor,High
Chase Johnson,35,Male,Unemployed,47494.23,32251.3,Poor,High
Christina Ryan,32,Male,Salaried,19165.9,15769.73,Average,High
Adam Logan,19,Female,Self-Employed,11667.19,6686.68,Good,High
Timothy Allen,27,Female,Self-Employed,62585.37,41542.44,Excellent,Medium
Samantha Williams,35,Male,Student,21594.74,7185.54,Excellent,Low
Tina Williams,24,Male,Unemployed,62541.27,45223.79,Average,Medium
Alyssa Burnett,31,Male,Self-Employed,15833.45,6063.82,Poor,High
Timothy Myers,18,Male,Unemployed,81908.25,67465.1,Average,High
Shirley Leonard,22,Female,Salaried,16601.21,8975.21,Good,High
Timothy Hill,32,Female,Student,38937.2,23803.92,Excellent,Medium
Julie Ward,33,Female,Student,69682.21,35034.61,Poor,High
Kelly Rodriguez,36,Male,Salaried,37658.26,31241.23,Average,High
Taylor Oconnor,22,Male,Student,62841.2,22561.91,Average,Medium
